时间	转发数	评论数	点赞数	微博内容	字数	转发	转发内容	
02-16	2	15	29	【今日天气】我市多云间阴天；气温19-26℃；东风2级；相对湿度55%-90% 深圳市气象台2019年02月16日05时15分发布。网页链接 	124	否	
02-15	21	54	122	@惠州天气 出来看樱花🌸 啦	0	是	北方尚在飘雪，南方樱花已开。福建龙岩的樱花，你想@ 谁一起去看？ 
02-15	11	29	76	毛卷云：毛卷云的出现大多预示天晴，故有"游丝天外飞，久晴便可期"的说法。如果毛卷云变厚，量也增多，甚至发展成为卷层云，则预示天气将有变化。毛卷云云丝分散，纤维结构明晰，状如乱丝，羽毛，尾等。	0	是	@深圳天气  请问这是什么云？好特别…… 深圳 · 桂园街区 
02-15	46	107	153	厉害了我的深圳，亚洲第五	0	是	#印象深圳# 第8期 深圳经济GDP亚洲TOP5城市  东京、上海、北京、首尔、深圳这里有一份2018年深圳的成绩单请您查收抄送组织，打扰了@深圳天气  @深圳特区报 @深圳城觅 #深圳身边事# 
02-15	1	17	39	周末天气将转折，天气较凉，东风加大，云量增多。	0	是	深圳蓝，最近的天气好适合爬山@深圳天气 
02-15	1	14	15	【下班天气】下班天气舒适，无不利影响。预计17-20时，全市多云；气温21-24℃；相对湿度70%-90%；能见度10-20公里。天气对出行无不利影响。 深圳市气象台2019年02月15日16时22分发布。网页链接 	189	否	
02-15	7	21	23	【深圳市天气提示】17日东风加大18-19日有雨： 16日可见阳光，暖湿有雾，气温19-25℃ ；17日起东风加大，沿海和高地最大可达7-8级，天气转凉；18-19日有小到中雨局部大雨，气温下降；20日渐转多云，有分散阵雨。新学期开学和元宵节活动注意防风防雨，春运返程关注天气对交通的影响。网页链接 	280	否	
02-15	5	21	18	深圳气象没有叫建国的	0	是	#寻找建国# 【寻找气象部门的“建国”啦！有你认识的吗？】建国、解放……这些词承载了中国人太多的家国情怀。提到“建国”你会想到什么？可能是人名、地名、建筑……在你的身边，有从事气象行业的王建国、李建国、欧阳建国吗？或者从事气象工作的你，名字就是“建国”！#新气象70年# 快来分享！ 
02-15	7	71	59	春雨贵如油，今年以来降雨偏少90%以上，18-19日将迎来首轮较明显降水。 	66	否	
02-15	1	52	37	#小学开学有雨，要带伞哦#预计18日受弱冷空气和加大的偏南气流影响，阴天间多云，有小雨，17-21℃；19日阴天间多云，有阵雨，气温回升，20日多云。 	137	否	
02-15	2	22	11	#春运天气#据中央气象台预测：15日黑龙江东南部、吉林、辽宁东部、新疆西部、青海南部、西藏南部和东北部等地有小雪或雨夹雪，新疆伊犁河谷、西藏南部等地部分地区有中到大雪、局地暴雪；安徽南部、上海、浙江、江西北部、湖南北部、湖北南部、贵州东部等地部分地区有中雨，江西北部、湖南北部等局地有 ...全文	286	否	
02-15	3	50	29	今天白天至傍晚：云量多，部分时间可见阳光；气温舒适21-27℃；风力适中，偏东风2-3级，适宜出行 。 	93	否	
02-15	6	30	27	【上班天气】天气对出行无不利影响：预计早晨6-9时，全市多云，有零星小雨；气温19-21℃；相对湿度85%-95%；能见度8-20公里。天气对出行无不利影响。 深圳市气象台2019年02月15日05时39分发布。网页链接 	198	否	
02-15	4	19	16	【今日天气】我市多云；气温21-27℃；偏东风2-3级；相对湿度55%-90% 深圳市气象台2019年02月15日05时20分发布。网页链接 	122	否	
02-14	5	69	103	现在西部的温度在20-22度，东部19-20度，来个第二杯半价的新地正合适。别问，问就是单身猪可以一个人吃两杯[皱眉] 	107	否	
02-14	5	83	58	现在外面还有21℃哦~还真是温暖呢！请听题：将图中问号处填入合适的字。 	67	否	
02-14	3	83	65	今晚天气特别好，预计晚上气温20度出头，大家各自精彩吧 	58	否	
02-14	0	2	18	【下班天气】天气舒适： 预计17-20时，全市多云，气温21-25℃，相对湿度65%-90%，东南风2-3级，全市能见度普遍在14公里以上。天气状况对交通无不利影响。 深圳市气象台2019年02月14日16时37分发布。网页链接 	202	否	
02-14	3	12	23	【深圳市天气提示】15-16日温暖湿润17-18日天气转凉：15-16日可见阳光，天气温暖湿润，早晚有（轻）雾，15日气温20-28℃；17-18日天气稍凉，沿海及高地阵风可达8级，18日有小到中雨；19日小雨转多云。需关注低能见度和大风对交通和户外作业安全的影响。 深圳市气象台2019年02月网页链接 	275	否	
02-14	3	50	39	现在的气温，穿短袖正合适，不过如果早上出门就穿短袖还是有些凉的。明天的气温基本和今天差不多，现在可以开始思考明天穿什么小裙子了 	132	否	
02-14	5	49	59	深圳平均入夏时间4月21日，现在只是稍微热了点，真正的夏天还早呢	0	是	温度上来了夏天不远了吧@深圳天气 深圳·宝安公园 
02-14	23	94	193	别问我情人节天气怎么样，问就直接两行泪 	42	否	
02-14	2	27	28	本来想看看早晨的云量是怎么变化的，结果打开一看，嚯，这风吹的，头晕！ 深圳天气的秒拍视频 	88	否	
02-14	2	30	50	查看图片 //@江宁婆婆: 本设计师很欣慰。。。	0	是	市气象台发布14日6时#天气预报#：今天白天阴有小雪，东转南风2、3级，最高气温零下3℃；夜间阴，北部地区有小雪转晴，南风2级转北风3、4级（阵风6、7级），最低气温零下6℃。今天降雪天气过程持续时间较长，届时道面湿滑，出行尽量选择公共交通，注意交通安全；避免出游山区，安全第一。 
02-14	4	40	41	现在气温和昨天基本持平，阳光比昨天稍微多一点，又是舒适的一天 	60	否	
02-14	6	23	21	【上班天气】预计早晨6-9时，全市多云为主，气温18-20℃，相对湿度70%-90%，偏东风2-3级，能见度8-18公里。早晨天气略感清凉，白天温暖舒适，天气状况总体对交通无不利影响。 深圳市气象台2019年02月14日06时01分发布。网页链接 	221	否	
02-14	2	8	17	【今日天气】我市多云，早晚有轻雾；气温19-24℃；偏东风2-3级；相对湿度55%-90% 深圳市气象台2019年02月14日05时51分发布。网页链接 	134	否	
02-13	3	23	52	回复@YAYOITOU:从当前的气候信号看，2月底前强冷空气活动不明显，但从历史偏暖年份资料分析，前期显著偏暖，后期仍可能出现短暂的寒冷天气，气温可下降至10-12℃。//@YAYOITOU:彦祖 厚衣服可以收起来了不 还会不会像去年一样四月份突然降温哈	0	是	气温已到位，身材准备好了么 
02-13	39	542	180	@深圳教育 请关注//@这个有点意思13875:彦祖救救孩子吧，宝安区文汇学校初三学生2.14开学，连续两天开学考，16号以后照常上课，周末不放假连续上9天学，每天十节课！学生根本受不了！！！	0	是	#深圳蓝#@深圳天气 深圳湾好看(｡･ω･｡)ﾉ♡ 
02-13	3	56	32	大家来帮帮他，告诉他怎么去?//@尹尹尹尹尹尹尹er蓉:就这是哪？从哪个地铁口可以去！我一直不知道红树林这边的栈道怎么去可愁死了	0	是	#深圳蓝#@深圳天气 深圳湾好看(｡･ω･｡)ﾉ♡ 
02-13	41	12	17	回复@0周小西0:曝光了啊，没看到吗？ 查看图片 //@0周小西0:发现用红米发博的小编了。说好的爆照呢//@深圳天气:深圳湾海滨栈道一直连到蛇口，有人走过全程吗？	0	是	#深圳蓝#@深圳天气 深圳湾好看(｡･ω･｡)ﾉ♡ 
02-13	64	102	57	深圳湾海滨栈道一直连到蛇口，有人走过全程吗？	0	是	#深圳蓝#@深圳天气 深圳湾好看(｡･ω･｡)ﾉ♡ 
02-13	4	18	62	2月份来了，深圳蓝越来越多，环境优美，气候宜人，宜居城市。	0	是	深圳蓝☁️#深圳蓝# @深圳天气 @广东天气 @赏云频道 深圳·深圳华侨城 
02-13	30	138	104	气温已到位，身材准备好了么 	38	否	
02-13	0	5	10	【下班天气】预计17-20时，全市多云，气温22-25℃，东西部沿海略低2-3℃；相对湿度65%-85%，偏东风2-3级，能见度西部沿海稍低，5-10公里，其余地区能见度在15公里以上。夜间天气略感清凉，没有明显影响交通的恶劣天气。 深圳市气象台2019年02月13日16时44分发布。网页链接 	262	否	
02-13	1	3	9	【下班天气】预计17-20时，全市多云，气温22-25℃，东西部沿海略低2-3℃；相对湿度65%-85%，偏东风2-3级，能见度西部沿海稍低，5-10公里，其余地区能见度在15公里以上。夜间天气略感清凉，没有明显影响交通的恶劣天气。 深圳市气象台2019年02月13日16时39分发布。网页链接 	262	否	
02-13	6	18	16	【深圳市天气提示】未来三天温暖湿润：14-16日多云可见阳光，天气暖和，早晚有轻雾或雾，14日气温19-25℃；展望未来几天，17-18日天气稍凉，有分散小雨；后期多云气温回升。需关注低能见度和潮湿天气对春运交通和日常生活的影响。深圳市气象台2019年02月13日16时00分发布网页链接 	269	否	
02-13	0	13	24	#春运天气# 未来两天周边广西、湖南、江西、福建都有降雨，小伙伴们春运返深走过路过注意行车安全 	101	否	
02-13	9	20	20	今天罗湖一小区也发生了火灾，火险预警信号现正生效中，安全第一条//@深圳同城: #深圳身边事# 福田一居民楼突发火灾被扑灭，两物业救火队员受轻伤	0	是	#深圳爆料# 【福田一居民楼突发火灾被扑灭，两物业救火队员受轻伤】2月11日17时50分许，福田区黄埔雅苑一期居民楼突发火灾。消防部门随即赶赴现场进行扑救，当天19时许，明火已被扑灭，无业主伤亡，两物业救火队员受轻伤， 其中一名员工因扑救吸入有毒气体，已被送往北大医院救治。#我在深圳过大年# 深圳商报的微博视频 深圳 · 民治
02-13	12	9	58	就爱这绿树红花五彩缤纷~转需~//@猫与月秋: 好美！//@天狼月季:月季展19号就闭幕啦，附近的朋友抓紧去看鸭！	0	是	漫步在满园香气里，突然疯狂想吃玫瑰花饼~拍摄：me 地点：深圳人民公园@深圳市公园管理中心 @深圳本地宝 @深圳天气 
02-13	1	32	50	老大说的对，就是这个理	0	是	今天我省受偏南暖湿气流影响，天空云量明显增多，不过有些地方还是可以见到阳光的。这样的天气对温度的影响就是最低气温回升明显，而最高气温升的高不高，就要看你所在的地方有没有阳光加持了，又是拼人品的时候了 #跨粤春运# #春运这些天# 
02-13	10	19	16	2019年02月13-19日，深圳市流感指数为Ⅲ级（较易发生），未来一周本市流感病人开始增多，流感活动增强，进入流感活跃期，提醒市民：1、保持室内环境卫生，经常开窗通风；2、保持健康饮食、适量运动及充足休息；3、勤洗手，打喷嚏或咳嗽时用手帕或纸巾掩住口鼻；4、尽量避免接触流感患者，如需接触应配 ...全文	363	否	
02-13	3	37	66	发现小伙伴们假期回来都操心着要收拾洗晒~~这两天没雨，晒是安全的，但湿度较大，天空多云为主，大概晒不出满满的阳光味了。 	116	否	
02-13	4	27	23	【上班天气】多云：预计早晨6-9时，全市多云为主，气温18-20℃，相对湿度70%-90%，偏东风2-3级，能见度5-15公里。早晨天气略感清凉，白天温暖舒适，没有明显影响交通的恶劣天气。 深圳市气象台2019年02月13日05时18分发布。网页链接 	225	否	
02-13	3	14	19	【今日天气】我市多云，早晚有轻雾或雾；气温18-26℃；东风2-3级；相对湿度55%-90% 深圳市气象台2019年02月13日05时06分发布。网页链接 	136	否	
02-12	30	77	152	不少朋友们都发现近期落叶纷纷，然而这并不是为了烘托假期结束那种悲凉的气氛。准确说这是“换叶”而不是“落叶”，因为通常深圳年底的气温也没有很低，树木的新叶子开始逐渐发芽，于是就有了老叶子被新叶子“顶掉”的过程，并且…深圳到现在都还没入冬，秋天落叶有问题吗？？（图片 ...全文	294	否	
02-12	81	133	137	距离深圳平均入冬日：1月13日 已经过去近一个月了，今年直接入夏的可能性越来越大	0	是	如果今年真的入冬失败的话，那么今年入春时间也就不好计算了，这意味着我们今年将直接进入夏季，参考2017年… 
02-12	0	21	36	还在返程路上的小伙伴们请注意：道路千万条,安全第一条....@深圳交警	0	是	【话春运 聊天气】#清远春运# 清远连州市境内省道114线南风坳路段的浓雾维持了一天时间，目前能见度仍不足100米，气温在10℃左右 ，请通行该路段返程的朋友注意保持合理车距。确保行车安全。@广东天气 @广州天气 @深圳天气 @湖南省天气 
02-12	0	9	11	【下班天气】预计17-20时，阴天间多云，气温20-22℃，相对湿度70%-90%，偏东风2-3级，能见度15-20公里。夜间沿海地区有轻雾，注意低能见度时行车安全。 深圳市气象台2019年02月12日16时45分发布。网页链接 	200	否	
02-12	7	18	13	【深圳市天气提示】未来四天天气暖湿：13-16日多云可见阳光，早晚有轻雾或雾，中午前后较热，13日气温18-26℃；17-18日弱冷空气影响，有分散小雨，气温略降，沿海和高地阵风7-8级。建议关注低能见度和沿海大风对春运交通的影响。深圳市气象台2019年02月12日16时00分发布网页链接 	268	否	
02-12	6	64	79	本周气温将逐日回升，不会感觉冻手了，同学们抓紧时间写寒假作业吧。 	68	否	
02-12	7	78	94	在家过完冬天的朋友们，准备要回来过夏天呀 	50	否	
02-12	2	12	13	返程的朋友们要注意啦~	0	是	【话春运 聊天气】#清远春运# 目前清远连州市境内省道114线南风坳路段能见度不佳，伴有雾的出现，气温在6℃左右 ，请通行该路段返程的朋友注意保持合理车距。确保行车安全。@广东天气 @广州天气 @深圳天气 @湖南省天气 
02-12	7	74	66	上班第二天，对于从老家回来深圳的朋友们来说，这个气温还算挺舒适吧~ 	71	否	
02-12	5	22	27	【上班天气】预计早晨6-9时，阴天，气温15-17℃，相对湿度70%-90%，东北风2-3级，能见度5-20公里。早晨天气凉，晨练注意保暖；没有明显影响交通的恶劣天气。 深圳市气象台2019年02月12日05时46分发布。网页链接 	205	否	
02-12	7	14	24	【今日天气】我市阴天转多云；气温15-21℃；东北风2-3级，阵风5级；相对湿度60%-90% 深圳市气象台2019年02月12日05时30分发布。网页链接 	137	否	
02-11	3	34	49	明早还是会有些凉，白天气温才会逐渐回升，早上出门别穿少咯 	56	否	
02-11	14	38	65	很有道理🤔️//@正宗啥都没了:由于节后来深圳的人多，带动北方的冷空气顺着人流南下，把深圳吹冷了。	0	是	可能有的朋友今天刚回深圳，发现根本不像想象中那么温暖，甚至怀疑自己回了一个假深圳。今天刚好是弱冷空气影响，再加上低层云量非常多，完全没有阳光，所以感觉一整天都比较阴冷。好在明天冷空气就走了，虽然太阳不大，但气温逐日上升。 
02-11	30	104	89	可能有的朋友今天刚回深圳，发现根本不像想象中那么温暖，甚至怀疑自己回了一个假深圳。今天刚好是弱冷空气影响，再加上低层云量非常多，完全没有阳光，所以感觉一整天都比较阴冷。好在明天冷空气就走了，虽然太阳不大，但气温逐日上升。 	220	否	
02-11	1	8	14	【下班天气】预计17-20时，全市阴天；气温14-16℃；相对湿度70%-95%；东北风3级，阵风5-6级；能见度15-20公里。夜间气温较凉，请市民注意添衣。 深圳市气象台2019年02月11日17时19分发布。网页链接 	193	否	
02-11	30	49	83	【深圳刚刚经历了有史以来最热的春节假期】刚刚过去的春节假期（除夕到初六，共七天）深圳平均气温高达21℃。从平均气温来看这是自1953年有气象记录以来最暖的一个春节假期。除夕当天最高气温28.1℃，是历年除夕乃至春节假期的第二高温（第一是1953年除夕29.0℃）。此外，初四和初三最高气温分别达到2 ...全文	367	否	
02-11	5	17	16	【深圳市天气提示】明日起气温逐日回升，早晚能见度逐渐转差：12-14日可见阳光，早晚有轻雾，12日气温15-21℃；15-16日多云间晴天，早晚有轻雾或雾，中午前后较热；17-18日弱冷空气影响，有分散小雨，气温下降，沿海和高地阵风7-8级。需关注低能见度、沿海大风对春运交通的影响网页链接 	275	否	
02-11	1	10	13	今明两天还在返程路上的朋友，留意一下省内的天气	0	是	【春运交通气象服务】11日夜间到12日白天，全省大部多云，早晚有（轻）雾，西部市县局部有小雨。12日白天大部分市县气温逐渐回升。沿海部分路段交通运输受海面大风影响，粤西、粤北部分市县公路交通受雾的影响。#春运这些天##跨粤春运##流浪地球##初七上班# #你返程了吗？# 
02-11	4	42	35	气温龟速上升，沿海的云量有变少的趋势，但想今天见到太阳还是比较困难的 	68	否	
02-11	38	23	79	一边是深圳温暖的春节，一边是北美的极寒。其实这两者是同一个事件造成的。冬季北极附近存在“极涡”，极涡是冷空气的爸爸，极涡偏向哪边，哪边就更冷。当极涡偏向西伯利亚时，我国就容易出现寒潮，而现在极涡偏向北美，所以我们经历了温暖的春节，北美经历了极寒	0	是	【2019芝加哥极寒无人机摄影】这个冬天美国中西部地区遭遇罕见极寒，温度降到零下50到60摄氏度。一位油管博主找了个天气稍好的清晨，用无人机记录下了这个历史性的芝加哥寒冷冬天，画面里芝加哥河和密歇根湖被冰封，白茫茫的一片，是惊人而独特的芝加哥风景！（ytb：PrimoMedia-Chris Biela) YouTube精选的微博视频 #微·奇观# #气象♥生活#
02-11	6	78	102	已知平安金融中心高600米，问今天的云底高度是多少米？ 	51	否	
02-11	4	136	75	气温有点凉，今天初七，法定的春节假期已经结束了，大家都回来上班了吗？ 	68	否	
02-11	4	49	31	【上班天气】早晨天气清凉：预计早晨6-9时，全市阴天间多云；气温14-18℃；相对湿度85%-95%；东北风3级，阵风5-6级；能见度10-15公里。早晨天气清凉，出门及时添衣保暖。 深圳市气象台2019年02月11日05时31分发布。网页链接 	217	否	
02-11	4	18	25	【今日天气】我市多云；气温16-23℃；东北风3级，阵风5-6级；相对湿度60%-90% 深圳市气象台2019年02月11日05时18分发布。网页链接 	131	否	
02-10	20	96	64	回复@四分之一的黄:要冷过之后才能回南，现在的问题是我们不冷甚至还有些热//@四分之一的黄:有回南天吗	0	是	都回来了吧，是时候了解下深圳的天气了，未来一周23度是基本，27度也是常态，气温逐日回升，短袖都准备好了吗？ 
02-10	6	41	26	不等了，越等越热啊//@_导盲犬小Q:等等！还没有！	0	是	都回来了吧，是时候了解下深圳的天气了，未来一周23度是基本，27度也是常态，气温逐日回升，短袖都准备好了吗？ 
02-10	66	166	110	都回来了吧，是时候了解下深圳的天气了，未来一周23度是基本，27度也是常态，气温逐日回升，短袖都准备好了吗？ 	104	否	
02-10	28	89	84	怎么办 在线等... ...🙈🙈	0	是	#过年# 大吃大喝了这么多天，怎么办？吃时一时爽 
02-10	2	27	97	今天最开心的事是还能被人脸识别，很满足了 	46	否	
02-10	5	30	30	#春运天气# 看看下周怎么穿	0	是	一图了解下周天气→看看你家天气怎么样 
02-10	0	9	17	【下班天气】预计17-20时，全市多云间阴天；气温18-20℃；吹和缓的偏东风，沿海和高地最大阵风7级左右；能见度普遍在5-15公里。夜间天气清凉，请注意保暖；沿海和高地阵风较大，出行请注意防风。有返程计划的人们，请及时关注天气及交通路况信息，注意出行安全。 	243	否	
02-10	5	14	27	【深圳市天气提示】#未来一周深圳温暖湿润，早晚能见度低#周一（11日）阴天转多云，可见阳光，沿海和高地最大阵风可达6-7级，早晚清凉，气温17-23℃；周二至周六（12-16日）气温回升，天气温暖湿润，早晚有轻雾或雾；周日（17日）弱冷空气影响，偶有零星小雨，气温略降。需关注低能见度、沿海大风对春 ...全文	293	否	
02-10	14	1	38	2019，不负光阴，为爱前行	0	是	【2019，不负光阴，为爱前行】假期最后一天，又将离乡返程，多希望时光倒流，让我陪在你身边更久。但既然时间从不停留，那就请坚定地向前走。离别是为了更好的重逢，2019，不负光阴，为爱前行。人民日报的秒拍视频 
02-10	13	82	53	反正衣柜里永远缺一件//@东莞天气: 小编表示年三十才去买衣服，专挑凉快的	0	是	想问下，今年过年的新衣服有多少人买对？ 
02-10	2	37	27	今天白天的云量依然较多 湿度较大 不太适宜晾晒 昨天的微微弱冷空气倒是略显成效 今天中午的气温相比昨天都略有下降 中、东部地区只有18-20℃ 西部地区20-22℃  体感总体上还是比较舒适滴 [伴我同行][静香微笑][大雄微笑][胖虎微笑][小夫微笑] 	236	否	
02-10	53	20	51	转给 有节后综合症的孩子们~	0	是	【节假日后的疲惫党刚需！】如何从不想要的懈怠状态中恢复过来？油管博主分享个人总结的一种“仪式感操作”，巧妙地使用一天时间进行心理调整，让身体健康快速地释放多巴胺，顺利走出懒散的假期状态节日余额不足，抓紧珍惜最后时光！人人视频的秒拍视频 @人人视频 #气象♥生活#
02-10	5	72	58	今天的你， 从哪派来？ 到哪派去	0	是	现在广东的气温大致分为三个帮派：寒冷派、温暖派、热情派。特色鲜明，仅限广东，快回来体验吧！#春运这些天# 
02-10	1	7	18	#2019年春运回家# 返程的小伙伴看过来~~~//@气象知识: 假期进入倒计时，进入工作状态的你更要多多关注天气预报哦！	0	是	明起中东部大范围雨雪减弱 未来一周南方多阴雨 网页链接 
02-10	1	49	55	告诉大家一个“好消息” 今天是假期最后一天啦 小伙伴们准备好进入上班的节奏了咩~受到对深圳微微微弱冷空气的影响 今天早晨全市气温普遍下降了1-2℃ ，中、东部地区最大阵风达7级，预计大风还将持续到12日白天；今天白天，多云间阴天，有零星小雨~祝大家返程平安顺利 	272	否	
02-10	3	34	24	【上班天气】预计早晨6-9时，全市阴天间多云，偶有零星小雨；气温18-21℃；偏东风3-4级，沿海和高地最大阵风7级左右；相对湿度75%-95%；能见度10公里以上。早晨天气清凉，请注意保暖；沿海和高地阵风较大，请注意防风。 深圳市气象台2019年02月10日05时42分发布。网页链接 	262	否	
02-10	3	11	19	【今日天气】我市多云间阴天，偶有零星小雨；气温18-24℃；东风3-4级，沿海和高地最大阵风7-8级；相对湿度60%-95% 深圳市气象台2019年02月10日05时22分发布。网页链接 	165	否	
02-09	6	93	68	在弱冷空气影响下今天气温略有下降，然而初七开始气温又将逐日回升 	66	否	
02-09	67	39	154	美！//@江苏气象:美不胜收！	0	是	扬州下雪了，一夜回到梦中的广陵。。。@江苏气象 @飞戈figor @FM985扬州新闻广播 @邗江发布 @江苏扬州瘦西湖 @侃侃  @猪猪侠是猪还是侠 
02-09	6	45	73	求图1.2.3与图4的关系 	26	否	
02-09	21	264	266	明天就是最后一天假期了，大家都什么时候回深圳呀 	46	否	
02-09	15	38	60	划重点：1、除夕至初四深圳天气异常偏暖解读。2、春运天气预测及注意提醒。 	72	否	
02-09	0	4	14	【下班天气】天气舒适：预计17-20时，全市阴天间多云；气温19-22℃；相对湿度70%-100%；偏东风3-4级；能见度8-20公里。天气舒适，适宜锻炼。沿海和高地阵风较大，海边或海岛游玩注意安全。 深圳市气象台2019年02月09日16时47分发布。网页链接 	234	否	
02-09	4	10	8	【深圳市天气提示】初六至初七天气舒适，东风清劲 ：初六至初七（2月10-11日）多云间阴天，沿海和高地最大阵风可达7-8级，初六气温18-24℃；12-16日多云，气温回升，早晚有轻雾或雾，中午前后较热。需关注低能见度、沿海大风对交通的影响。深圳市气象台2019年02月09日16时10分网页链接 	274	否	
02-09	1	18	27	湖南返深的朋友们注意行车安全	0	是	湖南高速公路路面结冰影响等级预报9日下午14点至10日08点 。请驾驶员朋友，返程人员注意安全，合理安排出行！@新浪湖南 @湖南高速警察 
02-09	44	10	136	新年开工旺旺旺！	0	是	当给狗子穿上这件衣服后瞬间年味十足了哈哈哈哈哈哈哈#年味十足的狗子#冷笑话精选的微博视频 
02-09	25	28	89	想做一只狗	0	是	【#一只在家待不住的狗#】要去滑雪。你春节假期去滑雪了吗？ 新疆地震局的微博视频 
02-09	6	48	103	没有暴晒，没有大风，我是一个最最幸福的小人。 	44	否	
02-09	59	12	83	想要诸事顺利，想要XXXX	0	是	转发这条集好运与万千宠爱于一身的“锦鲤熊”，今年必定会有好事发生！#2019熊猫乐新春# #熊猫一刻# #iPanda爱熊猫# 大熊猫萌玉 iPanda熊猫频道的秒拍视频 
02-09	5	20	18	你们有这种困扰吗？	0	是	【雪天如何安全驾驶】忽如一夜春风来，千树万树梨花开，春节期间正忙着走亲访友的你，行车安全可不能忘记哦!警察小姐姐特地为大家准备了一份雪天安全驾驶指南，祝大家安全、快乐的过大年。 平安南京的秒拍视频 
02-09	3	24	22	#春运天气#返深的朋友看过来	0	是	中东部大范围雨雪行路难 返程路途需注意 网页链接 
02-09	28	5	45		0	是	#中国福#【恭喜发财！初五迎财神，猪年钱足够！】今天初五，年俗多多：①迎财神：过了初一，最重要的活动就是接财；②破五：诸多禁忌过此日皆可破；③开市：大年初一关门的大小店铺，会在今天开市，意在招财进宝…更多↓↓吃饺子，放鞭炮，贺团圆！转发微博，大年初五迎财运，新年讨个好彩头！ 
02-09	6	74	113	目前全市从东部到西部温度18-20℃，今天早上凉不凉？还想不想降温了？有没有看到日出？ 	81	否	
02-09	1	24	22	【上班天气】沿海和高地阵风大：预计早晨6-9时，全市阴天间多云；气温19-21℃；相对湿度80%-100%；偏东风3-4级，阵风6-7级；能见度8-15公里。沿海和高地阵风较大，海边或海岛游玩注意安全。 深圳市气象台2019年02月09日05时32分发布。网页链接 	235	否	
02-09	5	9	25	【今日天气】我市多云间阴天，局地偶有零星小雨；气温19-24℃；东风3-4级，沿海和高地阵风7-8级；相对湿度60%-95% 深圳市气象台2019年02月09日05时19分发布。网页链接 	165	否	
02-08	6	33	93	看看雪，降降温	0	是	这场雪是我怀念深圳天气的唯一安慰@深圳天气 亳州 纪中义的微博视频 
02-08	3	29	28	【深圳市大风提示】受东路弱冷空气影响，我市风力加大，中东部及沿海地区阵风已达6-7级，预计今天夜间到明天白天我市中、东部地区偏东风较大，最大阵风可达7-8级，请注意防风。深圳市气象台2019年02月08日20时40分发布网页链接 	220	否	
02-08	4	55	50	穿4件？脱！	0	是	今天刚回深圳，从老家这样穿回来，感觉与深圳天气不符，深圳的冬天已经结束了吗？@深圳天气 深圳深圳·深圳北站 卓少学长的秒拍视频 
02-08	47	63	100	我们更想下雪//@上海市天气:是直接嘛？还是欢迎来看雪？听说南方很多地方都开始赏樱花了	0	是	深圳一男子春节爬山游玩，中暑了 
02-08	5	15	46	同刷了N遍，各类天气学的老师都带我们看了一遍//@Dri旧时光:已经刷过N多遍了，还是那么好看， 所以决定再刷一遍	0	是	《The Day After Tomorrow》（后天），没看过的可以看看，以前觉得这是科幻片，直到最近的美国特别特别特别冷…… 
02-08	26	54	104	《The Day After Tomorrow》（后天），没看过的可以看看，以前觉得这是科幻片，直到最近的美国特别特别特别冷…… 	106	否	
02-08	0	26	16	【下班天气】天气舒适：预计17-20时，全市多云为主；气温21-23℃；相对湿度75%-95%；全市能见度基本在3-15公里；沿海及高地阵风6-7级。天气舒适，较适合进行户外活动。海边、海岛旅游注意出行安全。 深圳市气象台2019年02月08日16时39分发布。网页链接 	243	否	
02-08	6	30	55	受东风影响，目前全市气温普遍在20-23℃，亲们别着凉咯，冷饮也暂时放放，新的一年我们都要健健康康多！ 	97	否	
02-08	9	22	13	【深圳市天气提示】春节假期后期天气平稳：初五至初六（9-10日）云量增多，气温略降，初五（9日）18-25℃，初六（10日）18-24℃，沿海和高地最大阵风7-8级；11日多云可见阳光；12-16日气温回升，早晚有轻雾，中午前后较热。需关注低能见度、沿海大风对春运的影响。 深圳市气象网页链接 	274	否	
02-08	96	62	155	深圳的暑假：1.2月+7.8月	0	是	深圳一男子春节爬山游玩，中暑了 
02-08	65	50	71	注意防暑降温，注意海边大风	0	是	【游客在#广东爬山中暑晕倒#】2月5日大年初一，广东深圳一男游客在爬山时晕倒在地，该游客当时趴在栏杆上呼救，到现场时发现他已倒在地上浑身抽搐，面无血色，随后被应急队员用担架抬下山送医治疗。经医生检查，该男子是因为气温较高，导致中暑晕倒。@梨视频 一手video的秒拍视频 
02-08	401	293	423	深圳一男子春节爬山游玩，中暑了 	30	否	
02-08	16	54	71	昨日，也就是年初三（7日），气温达到了27.8℃，是深圳国家基本气象站1953年（有气象记录）以来记录到的最高气温，可谓是红红火火热热闹闹。有没有去海边玩得小伙伴？东部海边风力大，阵风6级左右，有点凉20℃都守不住了，注意安全，不要下海浪了，记得添衣！ 	241	否	
02-08	7	45	69	想看花花？深圳的花花嘞？	0	是	【春节时分过“夏天” 广州樱花正在怒放中】大年初三，羊城天气晴暖，在蓝天和阳光的加持下，华农的樱花真是美的不得了。樱花主要集中在华农儒园和动物科学学院一带，现正值花期。花开正值假期，趁阳光正好，微风不燥，要去看看嘛？图/sofia的泪 
02-08	9	45	37	春节进入后半段，今日，天气依旧不错，出去玩的抓紧，怕冷的快回来。目前气温23℃左右，东南风2-3级，相对湿度75-90%。 	112	否	
